StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,A3SONA,A3ATT,SCI-SP1,SCI-SP2,SCI-SP3,SCI-SP4,SCI-IN1,SCI-IN2,SCI-IN3,SCI-IN4,SCI-GR1,SCI-GR2,SCI-GR3,SCI-GR4,SCI-AP1,SCI-AP2,SCI-AP3,SCI-AP4,SCI-SR1,SCI-SR2,SCI-SR3,SCI-SR4,SCI-ML1,SCI-ML2,SCI-ML3,SCI-ML4,SCI-HE1,SCI-HE2,SCI-HE3,SCI-HE4,TMMS-R1,TMMS-R2,TMMS-R3,TMMS-R4-R,TMMS-R5-R,TMMS-R6-R,TMMS-R7,TMMS-A1-R,TMMS-A2-R,TMMS-A3-R,TMMS-A4,TMMS-A5,TMMS-A6,TMMS-A7-R,TMMS-A8-R,TMMS-A9,TMMS-A10-R,TMMS-A11,TMMS-A12-R,TMMS-A13-R,TMMS-C1-R,TMMS-C2-R,Q62,TMMS-C3-R,TMMS-C4,TMMS-C5-R,TMMS-C6,TMMS-C7-R,TMMS-C8,TMMS-C9,TMMS-C10
2025-04-28 20:35:26,2025-04-28 20:39:20,0,49,234,0,2025-04-29 20:39:28,R_5GWuPCnY2KMQ9wn,qr,EN,0.8999999761581421,70645,4,29,29,5,28,2,2,2,2,29,29,29,28,29,28,29,3,28,5,28,28,29,4,2,28,29,28,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30 21:18:05,2025-04-30 21:45:02,0,100,1617,1,2025-04-30 21:45:03,R_6KkjupqAbrFD42W,qr,EN,1,90247,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,5,4,2,4,2,1,5,2,5,5,4,3,5,4,5,5,4,5,2,5,2,4,4,3,4,4,2,4,4,4,2
2025-05-01 09:56:06,2025-05-01 10:21:59,0,100,1553,1,2025-05-01 10:21:59,R_52VvNnmaVVpukQw,qr,EN,0.8999999761581421,sec329@cornell.edu,4,3,28,1,28,2,28,2,3,28,28,29,5,28,29,4,1,4,5,28,29,5,4,5,4,3,4,2,3,4,5,4,2,5,2,2,2,2,4,2,4,2,4,5,4,4,4,5,2,2,3,4,1,2,2,2,2,1,2,2
2025-05-01 13:38:39,2025-05-01 14:17:56,0,100,2357,1,2025-05-01 14:17:58,R_5gO3xJoTwxkMcfo,qr,EN,1,92173,4,3,5,4,3,29,28,29,4,5,28,28,28,5,5,4,29,29,5,29,3,28,4,3,3,29,4,5,28,4,4,4,4,4,2,3,3,5,4,3,4,4,4,3,4,4,3,5,4,2,4,3,2,4,2,3,2,3,3,4
2025-05-01 17:36:36,2025-05-01 17:42:37,0,100,361,1,2025-05-01 17:42:38,R_1BzpZke6cxpUirf,qr,EN,1,70237,4,5,28,5,4,5,28,5,5,28,28,28,28,5,28,28,3,28,4,4,5,28,28,5,5,4,28,4,28,4,5,3,5,5,3,2,4,5,4,5,5,4,4,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,4,5
2025-05-01 21:05:41,2025-05-01 21:10:51,0,100,309,1,2025-05-01 21:10:51,R_16W1mvJQNYIcBIR,anonymous,EN,1,79279,4,4,3,3,5,28,5,4,5,4,5,5,5,5,5,3,4,4,4,3,4,3,4,4,5,5,28,5,5,2,2,2,2,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,1,2,2,2,4,2,2,2,3,4,2
2025-05-01 20:45:44,2025-05-01 21:16:25,0,100,1840,1,2025-05-01 21:16:25,R_7odx6nrfVpyTnqV,qr,EN,1,90466,4,29,29,2,2,1,29,5,3,29,5,29,29,29,28,5,5,28,29,29,28,2,29,3,5,29,5,29,4,1,4,4,4,3,1,3,2,1,4,3,4,4,2,4,2,5,3,4,5,2,5,5,3,5,5,3,2,3,4,4
2025-05-01 20:46:17,2025-05-01 21:34:33,0,100,2895,1,2025-05-01 21:34:34,R_72QrdWxk5mch1jE,qr,EN,1,92218,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,4,1,3,2,4,4,2,4,5,4,4,5,1,5,5,5,5,2,2,2,4,5,1,4,2,1,1,2,4,2
2025-05-01 21:43:45,2025-05-01 22:00:40,0,100,1015,1,2025-05-01 22:00:41,R_5gOu9gFssPz2skY,qr,EN,0.8999999761581421,92596,4,5,5,5,29,29,5,3,4,28,29,29,29,29,29,5,3,3,4,5,4,2,4,3,4,29,28,29,5,4,2,4,5,2,2,4,2,4,5,4,5,4,2,5,5,5,5,4,2,2,5,5,4,5,5,5,4,5,5,5
2025-05-02 07:33:10,2025-05-02 07:37:56,0,100,285,1,2025-05-02 07:37:57,R_3rOhv0dW8Fy94vY,qr,EN,1,79450,4,4,5,5,29,29,29,3,4,4,29,28,5,2,29,29,2,29,28,5,28,5,2,29,5,29,29,29,3,2,4,4,5,5,4,1,5,5,5,4,4,4,5,5,5,5,5,5,5,1,5,5,5,4,4,2,5,4,4,4
2025-05-02 12:01:31,2025-05-02 12:06:56,0,100,324,1,2025-05-02 12:06:57,R_5Mage8COfmn8r85,qr,EN,0.8999999761581421,90220,4,3,4,4,4,28,5,3,3,29,29,5,28,4,28,28,3,5,5,5,5,5,5,4,4,28,5,5,5,3,3,3,4,2,3,1,3,4,4,3,4,3,4,4,4,5,3,3,4,2,2,4,3,4,4,3,2,3,4,2
2025-05-02 13:09:29,2025-05-02 13:22:57,0,100,808,1,2025-05-02 13:22:58,R_325Ylr9sw4x4nRu,qr,EN,1,85858,4,4,4,4,4,29,29,29,5,29,29,29,28,29,29,29,28,29,28,29,5,5,4,5,28,29,29,29,29,3,4,2,4,4,3,4,2,4,2,4,4,2,4,4,2,3,2,4,4,2,3,3,4,4,3,4,2,3,3,2
2025-05-02 13:28:20,2025-05-02 13:45:08,0,100,1008,1,2025-05-02 13:45:09,R_389STXzEkuT88RH,qr,EN,1,92368,4,29,29,4,5,29,28,5,5,5,5,28,28,5,28,28,5,5,28,3,5,5,4,3,5,28,28,5,5,4,5,4,5,5,2,2,4,5,5,5,4,2,4,4,4,4,4,4,5,4,4,5,3,2,4,3,4,4,4,2
2025-05-02 11:10:18,2025-05-02 11:15:56,0,97,337,0,2025-05-03 11:15:59,R_6j95BSZXtB8WlHh,anonymous,EN,0.8999999761581421,70258,4,1,2,2,2,5,28,28,3,5,28,28,28,3,5,5,4,5,5,5,28,28,29,28,29,28,28,29,5,2,3,3,2,2,2,5,3,4,5,5,4,4,5,5,4,4,4,5,5,2,3,4,2,4,3,2,4,2,4,4
