sona,A3ATT,SCI-SP1,SCI-SP2,SCI-SP3,SCI-SP4,SCI-IN1,SCI-IN2,SCI-IN3,SCI-IN4,SCI-GR1,SCI-GR2,SCI-GR3,SCI-GR4,SCI-AP1,SCI-AP2,SCI-AP3,SCI-AP4,SCI-SR1,SCI-SR2,SCI-SR3,SCI-SR4,SCI-ML1,SCI-ML2,SCI-ML3,SCI-ML4,SCI-HE1,SCI-HE2,SCI-HE3,SCI-HE4,TMMS-R1,TMMS-R2,TMMS-R3,TMMS-R4-R,TMMS-R5-R,TMMS-R6-R,TMMS-R7,TMMS-A1-R,TMMS-A2-R,TMMS-A3-R,TMMS-A4,TMMS-A5,TMMS-A6,TMMS-A7-R,TMMS-A8-R,TMMS-A9,TMMS-A10-R,TMMS-A11,TMMS-A12-R,TMMS-A13-R,TMMS-C1-R,TMMS-C2-R,Q62,TMMS-C3-R,TMMS-C4,TMMS-C5-R,TMMS-C6,TMMS-C7-R,TMMS-C8,TMMS-C9,TMMS-C10
90541,4,2,1,2,2,3,28,5,3,28,28,28,28,5,28,29,3,29,2,4,5,28,5,5,28,28,4,29,2,1,2,1,4,2,5,4,2,3,4,4,3,1,4,4,3,4,3,4,4,2,4,4,4,3,2,2,4,2,3,1
93289,4,3,3,2,3,28,4,4,5,5,5,28,5,3,5,28,4,5,28,5,5,28,5,28,4,29,28,29,5,4,5,4,4,4,2,1,2,4,2,4,4,4,1,4,2,2,2,4,4,2,4,5,2,4,3,4,3,4,4,4
90934,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86776
",4,28,29,28,29,29,28,29,29,29,29,28,29,5,29,29,5,29,29,29,29,29,29,29,29,28,29,28,29,4,5,4,5,4,2,4,4,5,5,5,4,4,4,5,5,4,5,5,4,2,4,4,5,5,3,4,3,4,5,2
90436,4,28,5,5,5,5,5,28,5,28,5,29,29,5,5,28,5,28,29,5,5,5,28,5,5,5,5,28,28,4,2,4,4,3,2,4,2,1,2,4,4,4,4,2,3,2,4,2,1,2,2,2,2,3,3,5,2,4,4,4
70645,4,29,5,5,29,2,4,5,4,29,5,29,29,29,29,29,3,29,3,4,2,29,29,5,29,29,28,29,28,2,3,3,5,5,3,2,2,4,3,4,4,2,2,3,5,4,4,4,4,5,5,5,4,5,5,3,5,4,5,5
87397,4,28,4,3,28,29,29,29,29,29,28,28,29,4,5,5,3,28,5,28,5,5,2,5,28,2,3,3,29,2,2,3,2,2,4,5,4,5,5,5,5,4,4,4,5,5,5,5,5,2,4,4,4,5,3,2,4,3,4,2
82327,4,28,28,28,5,29,29,29,28,28,29,29,29,29,29,29,29,5,28,5,28,28,28,29,28,28,28,28,29,2,4,2,4,4,4,2,4,4,4,3,3,3,4,4,1,4,1,5,4,3,5,5,3,1,4,2,3,4,4,4
91699,4,29,29,5,29,4,28,4,3,28,29,29,28,4,4,5,4,29,29,29,3,29,4,29,3,5,4,1,1,3,5,1,3,5,2,1,2,5,4,1,2,3,1,3,2,4,3,3,3,4,5,5,4,4,4,3,5,4,5,4
88153,4,1,3,1,1,5,28,4,3,29,29,28,29,28,29,28,5,29,2,29,29,5,5,3,1,29,29,28,29,2,2,2,5,2,3,4,5,5,4,4,4,2,4,2,4,3,4,5,5,4,4,4,5,4,3,3,4,3,4,2
92266,4,3,29,4,28,28,29,3,2,29,5,28,5,28,28,28,1,28,5,5,29,5,28,5,28,5,4,5,29,2,5,3,5,5,4,4,5,5,5,4,4,4,5,4,5,5,5,5,4,2,4,4,2,4,3,4,4,2,4,4
86614,4,5,4,4,4,28,28,5,28,29,29,29,29,4,28,28,28,3,3,5,3,4,3,3,5,29,29,4,29,2,3,2,4,3,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,2,3,3,4,3,3,3,3,4,3,2
93133,4,3,2,2,1,29,29,29,28,5,29,29,29,5,28,29,5,5,3,3,2,5,1,3,1,28,28,4,4,4,5,4,5,2,1,2,2,4,2,4,3,4,3,2,4,4,2,5,4,3,5,5,5,5,5,4,5,4,5,2
92932,4,29,29,29,29,29,5,29,1,29,29,28,28,29,29,29,28,28,29,29,29,5,29,29,3,5,28,29,29,3,5,4,4,5,2,4,2,3,2,4,2,3,4,4,4,4,4,1,1,3,4,5,2,5,4,4,3,4,3,4
81931,4,28,28,28,29,28,29,28,4,29,29,29,29,28,28,29,28,28,28,28,29,28,28,28,29,29,28,28,29,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2
84310,4,5,4,5,5,5,5,5,4,4,28,28,4,5,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,3,4,4,3,2,2,4,2,2,4,4,3,4,2,4,4,2,4,3,3,3,4,3,2,4,2,3,2,4,4,4
83869,4,1,1,1,2,29,29,28,4,28,3,5,28,3,29,4,3,28,4,4,5,2,2,3,1,5,29,5,28,4,2,4,3,2,2,3,3,4,5,2,4,3,4,5,4,4,5,3,4,1,2,4,1,4,2,3,2,2,3,2
91345,4,3,3,2,3,29,29,29,28,29,28,29,28,4,29,28,28,28,5,5,5,5,3,4,2,29,29,29,5,4,4,4,2,4,2,4,4,4,5,5,3,4,5,5,4,4,5,5,4,1,4,3,2,4,4,2,2,4,2,4
70261,4,4,3,5,1,29,28,5,4,29,29,29,29,3,28,5,5,29,5,28,28,29,28,5,29,29,28,28,28,2,4,2,4,3,4,1,5,5,5,5,4,3,5,5,4,4,4,5,5,2,5,5,2,4,4,3,4,5,5,4
75835,4,2,4,4,2,4,28,28,4,29,29,29,29,28,28,28,5,5,4,28,29,28,5,5,28,28,29,5,29,3,3,4,4,3,3,1,2,5,5,5,2,4,4,4,5,5,5,4,5,1,5,5,5,5,5,4,5,5,4,3
88153,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90436,4,28,5,28,5,28,4,5,29,28,5,28,5,5,5,5,5,5,28,4,28,28,5,5,5,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70645,4,29,29,5,28,2,2,2,2,29,29,29,28,29,28,29,3,28,5,28,28,29,4,2,28,29,28,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90247,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,5,4,2,4,2,1,5,2,5,5,4,3,5,4,5,5,4,5,2,5,2,4,4,3,4,4,2,4,4,4,2
sec329@cornell.edu,4,3,28,1,28,2,28,2,3,28,28,29,5,28,29,4,1,4,5,28,29,5,4,5,4,3,4,2,3,4,5,4,2,5,2,2,2,2,4,2,4,2,4,5,4,4,4,5,2,2,3,4,1,2,2,2,2,1,2,2
92173,4,3,5,4,3,29,28,29,4,5,28,28,28,5,5,4,29,29,5,29,3,28,4,3,3,29,4,5,28,4,4,4,4,4,2,3,3,5,4,3,4,4,4,3,4,4,3,5,4,2,4,3,2,4,2,3,2,3,3,4
70237,4,5,28,5,4,5,28,5,5,28,28,28,28,5,28,28,3,28,4,4,5,28,28,5,5,4,28,4,28,4,5,3,5,5,3,2,4,5,4,5,5,4,4,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,4,5
79279,4,4,3,3,5,28,5,4,5,4,5,5,5,5,5,3,4,4,4,3,4,3,4,4,5,5,28,5,5,2,2,2,2,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,1,2,2,2,4,2,2,2,3,4,2
90466,4,29,29,2,2,1,29,5,3,29,5,29,29,29,28,5,5,28,29,29,28,2,29,3,5,29,5,29,4,1,4,4,4,3,1,3,2,1,4,3,4,4,2,4,2,5,3,4,5,2,5,5,3,5,5,3,2,3,4,4
92218,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,4,1,3,2,4,4,2,4,5,4,4,5,1,5,5,5,5,2,2,2,4,5,1,4,2,1,1,2,4,2
92596,4,5,5,5,29,29,5,3,4,28,29,29,29,29,29,5,3,3,4,5,4,2,4,3,4,29,28,29,5,4,2,4,5,2,2,4,2,4,5,4,5,4,2,5,5,5,5,4,2,2,5,5,4,5,5,5,4,5,5,5
79450,4,4,5,5,29,29,29,3,4,4,29,28,5,2,29,29,2,29,28,5,28,5,2,29,5,29,29,29,3,2,4,4,5,5,4,1,5,5,5,4,4,4,5,5,5,5,5,5,5,1,5,5,5,4,4,2,5,4,4,4
90220,4,3,4,4,4,28,5,3,3,29,29,5,28,4,28,28,3,5,5,5,5,5,5,4,4,28,5,5,5,3,3,3,4,2,3,1,3,4,4,3,4,3,4,4,4,5,3,3,4,2,2,4,3,4,4,3,2,3,4,2
85858,4,4,4,4,4,29,29,29,5,29,29,29,28,29,29,29,28,29,28,29,5,5,4,5,28,29,29,29,29,3,4,2,4,4,3,4,2,4,2,4,4,2,4,4,2,3,2,4,4,2,3,3,4,4,3,4,2,3,3,2
92368,4,29,29,4,5,29,28,5,5,5,5,28,28,5,28,28,5,5,28,3,5,5,4,3,5,28,28,5,5,4,5,4,5,5,2,2,4,5,5,5,4,2,4,4,4,4,4,4,5,4,4,5,3,2,4,3,4,4,4,2
70258,4,1,2,2,2,5,28,28,3,5,28,28,28,3,5,5,4,5,5,5,28,28,29,28,29,28,28,29,5,2,3,3,2,2,2,5,3,4,5,5,4,4,5,5,4,4,4,5,5,2,3,4,2,4,3,2,4,2,4,4
89662,4,29,29,4,5,5,5,3,3,29,29,29,28,29,28,29,3,4,5,4,2,3,5,2,2,29,29,3,5,4,3,4,2,3,3,3,2,4,4,5,4,2,3,4,4,5,5,4,4,4,5,4,1,5,4,4,5,2,5,4
93256,4,3,5,3,3,29,3,28,5,29,28,28,28,4,4,3,5,4,2,2,3,3,4,4,1,4,4,5,3,2,3,3,2,1,4,5,3,4,2,4,4,4,4,5,3,2,4,3,3,2,3,2,2,4,2,3,2,4,3,3
92449,4,2,2,1,1,28,4,3,4,5,5,29,29,2,4,3,3,4,3,3,2,2,3,3,1,4,4,29,5,2,3,2,4,4,3,2,2,4,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
85099,4,5,28,5,3,5,3,4,28,28,2,28,28,28,2,3,28,2,3,28,28,28,5,5,28,4,3,28,3,5,3,3,4,3,3,4,2,1,1,5,3,5,3,2,3,3,5,3,1,3,1,1,1,2,3,3,1,3,5,5
69571,4,4,3,28,2,1,29,2,4,28,5,4,3,29,29,29,28,29,1,5,5,28,5,28,28,28,29,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79054,4,5,28,29,5,29,29,28,29,28,5,28,5,5,29,28,5,5,5,28,28,5,5,28,28,29,5,28,29,4,4,3,4,4,2,4,4,4,3,4,4,4,3,4,4,4,4,5,3,3,2,2,2,3,2,4,2,4,4,2
70063,4,5,5,3,4,28,5,5,2,5,28,28,28,28,28,29,4,28,5,3,4,4,4,4,2,29,29,5,28,2,3,2,5,4,4,2,3,5,4,3,4,2,3,4,3,4,3,4,4,2,4,4,4,4,3,3,3,2,4,2
taa54@cornell.edu,4,2,1,1,2,28,5,2,3,3,29,28,5,28,4,5,5,1,3,2,29,5,5,4,5,4,29,3,5,1,3,1,2,3,4,4,4,1,4,4,4,4,5,5,4,4,5,5,4,2,4,4,1,3,4,3,4,4,3,2
79207,4,3,3,3,5,29,28,28,28,29,28,29,29,4,29,28,29,4,3,2,4,2,1,2,3,29,29,29,28,1,3,3,4,3,4,5,4,4,4,5,4,4,4,5,3,3,3,5,4,1,2,2,3,2,2,4,2,2,2,2
91489,4,3,28,4,1,3,4,4,3,4,29,4,29,4,28,5,4,5,4,4,3,3,4,2,5,3,29,5,3,3,3,2,3,5,3,1,4,3,3,4,2,3,2,3,2,5,3,3,3,3,4,4,3,4,4,1,3,2,2,3
72976,4,1,4,1,2,29,28,28,3,28,29,28,28,4,5,2,5,29,5,5,28,2,4,3,3,29,29,28,28,3,2,3,3,2,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,2,2,2,4,4,2,2,2,1,4,4
81739,4,1,29,28,29,28,29,29,29,29,29,29,29,1,29,29,29,29,28,3,5,5,2,3,4,29,29,5,29,2,3,3,2,3,2,1,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,4,4,4,3,2,2,5,1,4
75361,4,28,28,28,3,29,29,4,4,29,29,29,29,28,29,28,5,28,29,28,29,28,3,2,2,29,29,29,29,3,2,2,4,4,4,4,4,5,5,4,5,5,4,4,5,5,5,4,5,1,4,4,2,2,2,3,2,2,2,1
78976,4,5,3,3,3,5,5,5,3,28,5,28,28,28,5,5,4,4,4,28,4,5,5,4,3,5,5,3,3,3,2,3,5,4,4,2,3,4,3,3,2,2,3,3,2,3,3,5,4,3,2,3,4,2,3,3,3,2,3,3
92428,4,28,29,5,29,29,29,29,5,28,28,29,29,29,29,5,28,28,5,29,28,28,29,29,4,5,5,5,28,2,3,2,4,4,4,1,3,4,5,4,4,3,4,5,5,2,5,4,3,2,4,4,4,4,2,2,2,1,4,2
91489,4,3,1,3,1,4,1,1,2,28,28,29,29,4,4,4,1,29,5,29,4,2,2,1,3,28,5,29,4,2,5,2,5,5,4,5,4,3,1,3,4,2,3,5,2,4,3,5,4,5,4,5,3,5,2,5,5,3,4,4
82264,4,3,28,4,4,5,5,28,4,29,29,29,29,4,29,28,28,29,4,5,28,4,4,4,4,5,28,28,29,2,4,3,4,3,4,4,5,5,4,4,4,2,4,5,5,5,4,5,5,2,2,4,3,3,4,2,3,2,2,2
